author,topic,text,shooter,,,,,,,,,,,,,,,,,
3964911,Museums-Libraries,"       This was sent out by the Associated Press on July 27:  'LONDON - Saddam Hussein appears depressed and demoralized in solitary  confinement, spending his time writing poetry, tending a garden and  reading the Quran, according to a report published Monday in The  Guardian newspaper.  'One of Saddam's poems is about George Bush, though the report did not  specify whether that referred to President Bush or his father, Saddam's  foe in the 1991 Gulf War.' ****************************** In response to this the *Washington Post* printed the following poem.  They introduced it by saying that none of Saddam's poems 'has been released yet, but we can imagine, can't we?'   They call me Beast of Baghdad. They're hurtful and they're snide -- But that's because they've never seen My sweet, poetic side.  Sure, I authorized some floggings, And gassed to death some foes, But I'm hoping now to show the world The Saddam that no one knows.  This Saddam is filled with anguish For all things mean and bad. I weep for mankind's pain -- in fact, My name begins with Sad.  You thought I'd hidden weapons And I admit I did, in part: My pen, it has a warhead To warm the coldest heart.  Neither cell nor fetid rathole Can still this plaintive wail. I'll keep writing mush, I swear it Till you get me outta jail.   -- Gene Weingarten            ",0,,,,,,,,,,,,,,,,,
3963813,indUnk,"           time now: 1.do you shave? yea 2.what do you shave? my legs 3.why? cuz they look nasty if I don't 4.what colour is your razor? white 5.what size is your bed? twin 6.do you like it? no 7.you're going on a date for a walk around the lake then a coffee at a cafe. what do you wear FROM your closet? my jean skirt and my bowl-a-rama t-shirt 8.Would you go naked in a bathtub with a naked old man/woman with each of you having a bar of soap and soap each other till the bars of soap run out for a million dollars? as long as old isnt over 40 9.if you woke up one morning and found out you were going to stay in the body you have now for the rest of your life, what would you think? yay 10. letter or e-mail? email 11.of world war III broke out, what would you say? shit 12.buttons or boxes? boxes 13.which 5 people do you trust and are open with the most? ej, aj, mj, d, and kd 14.what's something a guy/girl will wear that'll turn you off? golfing pants 15. what's something a guy/girl will wear that'll turn you on? nothing 16. what do you think of soulmates? they suck 17.florida or cali? florida 18.is the world screwed? duh 19.is cussing a neccesity in life? no fuckin duh 20.what's an object you can't live without? my dildo ;) lol j/k my photoalbum 21.can you live without the microwave? no 22.You have this uh, erotic dream about your friend of the opp. sex. how do you act and feel around that friend the next day? I'd just be normal around em 23.would you rather be rich with 15 spoiled brats or just barely making it with a dog? rich 24. how's your schoolwork for you right now? crappy 25.what's something someone's done to make you hold a grudge against them? um... ej calling me a troll 26.Favorite weather- cooler 27.what's one look trait that attracts you to a guy/girl? hair 28.what's one personality trait that attracts you to a guy/girl? um... just the personality alltogether 29.do you know what 143 means? no 30.who's phone number are you hoping to get? travis and devon 31.describe melancholy, if you don't know, then skip this question. 32.describe mellow- calm 33.do you beleive in ghosts? i dunno why or why not? 34.what time did you sleep last night? I went to bed at 12 35.which guy/girl do you wish to be with RIGHT now? myself 36.is it right to flirt if you have a bf/gf? I did it all the time 37.would you rather be married in venice, italy, or honolulu, hawaii? hawaii 38.would you rather eat sandwiches or pasta for the rest of your life? pasta all the way 39.(guys) how would you feel if you gave a girl a flower?   (girls) how would you feel if you got a flower from a guy? happyful 40.do you want to drop school? I want to drop kick the ppl at skool 41.what do you think of the word, 'no pain, no gain' ? its words dumbass 42.what do you think of the quote 'eyes are the passageways into the soul' ? It sux 43.What do you think of sleep? It rox, I do it all the time 44.if you had the chance to slow down your growth now and live to 500 years but it's like a 50 year old body by then, would you go for it? hell naw 45.at one point in a girl/guy friendship will one them them like each other even if it's only for a little bit. true or false? true 46.Are you a procrastinator? hell yes, why do you think i'm filling this out? 47.waffles or pancakes? pancakes 48.how's your cereal in your bowl? it was good, i had frosted mini wheats 49.what's an annoying trait about you? I ,like to kick ppls asses 50.football or rugby? football 51. hat or visor? visor 52.ice skating or rollerblading? rollerblading 53.(guys) your gf has long beautiful hair which you love, she comes to school the next day with a short crop cut. what do you HONESTLY think? (girls) your bf has hair you love. he comes to school the next day with a shiny head. what do you HONESTLY think? he looks like crap 54.pizza or burgers? burgers 55.what colour is your jacket? its a gray sweatshirt 56.what's something you ALWAYS have on you? my cell phone 57.what do you think of guys with nailpolishes? its cool if its black 58.do you stay in bed thinking or do you fall alseep in 5 seconds? 59.would you rather go to a boarding school, private school, or an all girls or guys school? public 60.there's a high school that'll be on a cruise ship and you have the opportunity to go. it's your last year at school. do you go for it? duh 61. who do you want to take with you to the prom? travis 62. your bf/gf gets drunk at a party. in their state of drunkness, they babble about that one time they fooled around with someone else while you were together. they wake up the next morning with a slight memory that did something stupid. what do you do? kick their ass 63.is cyber sex considered cheating? no 64.how do you react to change? i kick its ass 65.are you happy? kinda 66.favorite berries- blueberry muffins 67.what's one facial feature you'd like to change about yourself? my ugly ass zits 68.do you take a shower after a bath? I dont take baths 69.what's colour's your towel? blue 70.what do you think of knuckle cracking? i do it all the time 71.what was the last thing you cried over or got teary about? when we had to give my cat away 72.chalk or crayons? crayons 73.how's you happiness level right now? 0 (low)- 10 (high) 7 74. coffee, tea, or me? ;) iced tea 75.wouldn't you just love to hug someone right now? yes, travis 76.who was the last person who complimented you? travis 77.what's wrong with your school? it has no windows 78.do you know what an aphrodisiac is? no 79.who do you wish you could kiss? travis 80.movies at home on in a theater? home 81.wanna live in a castle? maybe 82.isn't gondola a cool word? no 83.what coat do you wear in the winter? my black hoodie 84.(girls)what's something about guys you don't get? why they jack off all the time 85.(guys) what's something about girls you don't get? 86.who was better in rush hour/rush hour 2? rush hour 87.it someone said you were hot, what would you think? i would ask them out if they were hot 88. you go to your bf/gf's house for the first time and in his/her room, and everywhere is... you. what do you think? cool 89.what happens when you hear the word christmas? i think crap, i'm poor 90.does being a psycho sound appealing? who says i'm not psyco? 91.what food brings back good memories? pizza 92.do you talk to yourself? yes, who doesn't? 93.sun or moon? moon 94.what's your opinion on love? it rox 95.what's a happy memory of a time you've spent with the opp. sex? when travis came over and we watched movies together 96.would you rather go ballroom dancing or square dancing? ballroom 97.do you think you can afford to lose weight? like 10 pounds 98.if you could dye your hair any colour, what would you dye it? its red now 99.what's the nicest thing any one has ever told you? travis said I have nice eyes 100.how was the survey? it sucked time finished: none of ur damn business you're done :)          ",0,,,,,,,,,,,,,,,,,
3963032,indUnk,             I wonder how long I have to write shit in here for people to notice.          ,0,,,,,,,,,,,,,,,,,
3963032,indUnk,"             The Olympics are a special time, aren’t they? Only during the Olympics does NBC drop their entire late night lineup for water polo and synchronized diving. Whoop-de-fucking-do. And at any hour of the day (or night, for that matter) you can catch some Olympic action on TV. The TV schedule for yesterday was such that at any given second during the day there was a minimum of two different events on at the same time. NBC, CNBC, MSNBC, USA, Telemundo, Bravo and all sorts of NBC-affiliated networks carry the Olympics at different times of day. Who cares? After watching the USA Olympic basketball team lose to an island roughly the size of Delaware (Puerto Rico), I am officially disinterested. 92-73 was the final score in a game brought to you by the words ‘selfish’ and ‘Iverson.’ AI needs to get benched. It’s all his fucking fault. Allen Iverson is a cancer on any team, and we really don’t need him to win. A backcourt of Dwyane Wade and LeBron James is better than one with a selfish player like AI, who managed to hit five of his many shot attempts today (I believe the final count is fourteen). Plus, the reunion of coach Larry Brown with AI cannot possibly be a good thing. Since they fought in Philly, who is to say that things are any better now? Perhaps the reason is the style of play is different elsewhere, and we don't play it well. But you simply just can't tell me that Puerto Rico has better basketball than the USA. So, in that case, what's wrong with the team???          ",0,,,,,,,,,,,,,,,,,
3962045,Consulting,"             My pointy-haired boss was upset over the Maintenance Plan document that we updating late. So what's so important about this document that none of us make use of it for the whole year? Only to satisfy ISO-9000 requirement! Is this quality? Is this the quality that ISO-9000 was suppose to help us achieve? I feel like this ISO-9000 stuff is just another legalised world-wide scam, generating tones of money for the otherwise unemployed QA auditors. Because I really don't see how our customers would benefit from this Maintenance Plan that we draft on our own, then we approve it ourselves, and keep it in the folder for the whole year long. Once in a while when we're lucky to be picked for QA audit then the auditor might ask for it. Otherwise, it would be there collecting dust until end of the year, and then we stamp it 'OBSOLETE'. And start with another new document. Now tell me that this is quality work and not wasting time.         ",0,,,,,,,,,,,,,,,,,
3961110,Student,"             Right, this is a broadcast on Shecklevision.  I have completed my movie, Wanderers One. Approx. 80 secs of stuff, excluding the titles and 'BGS Presents' etc etc. I'll send it to Jamie when he comes on...I SAID when he comes on...Grrrr...  So that's the deadline conquered, I shall finish my articles, and get ready for Episode 2!  Tull,  urlLink Black Ghost Staff           ",0,,,,,,,,,,,,,,,,,
3961004,Student,"       we both went into the class in the early mornin to get the seats we yearn for.. next to the window, side by side, 3rd row... the girl, yt, seated behind us, joined our 'pair grp'.. both of us, jia and me, knew, she will break us off and promise each other that we wun leave anyone alone... but stil, in the june hols, she left me, alone, seems, in the desert...and left wif yt... i reali reali hate yt alot... alot... she break us up... i cried, for jia, for our frenship...she jus wun return... she get closer and closer with her...one day, i wrote a letter to her, to tok bout our problems.. and she reali jus, sort of, don wished to get back our old days...   i tried, i've tried to put up all the cement that i've, but juz not enough...no body wans to provide me the rest of the cement...including jia... in the june hols, i spent my time with my old fren, hy.. as i noe, jia was busyin to work...so din call her out too..and i noe..she don like hy, hy don like her..so i din ask... but i bother to ask...she dont...the moment i saw her sittin on one of the table, next next to ours, my mood, frm =) to =(...it was so sudden...she is with yt...and don even bother to ask me go... if they asked, and i'm not free, i have no words to say...but they did not! i was sad, depressed...that nite i sms her.. she say that seems like both of us have alot of secrets cant share with each other le.. i told her, i don hav any thing to hide frm her.. reali don hav..i cried ...alot, the most hurted moment...i almost cant recgonize her in the resteraut.. gosh... reali sad,man... sad , cry, sob, depress, all have been to b4,this is the most serious moment i've nvr been... when eva i ask her out, she say she needs to go work, go out wif mum, and i noe, she's not sayin the truth... i can feel it... but wad can i do? i cant stop her frm goin out with that bitch,yt... but till the sch reopens, we went bck to our past...but...not that close as b4... she stil, went recess wif yt... tok to her on fone every day, went out with her every day after sch, take neo prints, without me... i'm sad...but i still got hy...but jus still hurt by them as they keep takin out their neoprints to show off to me..that they have been to many machines to take those photos... but i tolerate..i have to...if not..this frenship will have an end... i don wan it to end...but, i can see the end of the frenship, we r stepping towards the 'exit' door at the end of the frenship le...     ",0,,,,,,,,,,,,,,,,,
3960884,indUnk,"         Theyre not the same. I think its the fights. No ones the same after fights. Brendan's okay.. he's normal. Nice guy lah.&nbsp;But Irwin has changed. Alot. Usually hes the one starting conversations among us, not me.. He usually cant stop talking if we go out but now hes abit different.. holds back. There's alot of stuff goin on and nobody tells me.. kinda left out still. But i guess i just have to give it some time.. eventually we'll all be the same good friends.      Martin is the worst. I think he still has got something against me. Dont know why lah. The girls are okay lah. not changed one bit.       &nbsp;     &nbsp;   The fun fair wasnt fun. Being dunked was like.. so-so. Wish kimberly was there. Could at least hang out.. walk walk.        &nbsp;     &nbsp;   I have to catch up on my schoolwork. I just am in no mood today. Its a sunday, Im slightly pissed, and Im sleepy. Im gonna sleep.        &nbsp;   Love you kim.       ",0,,,,,,,,,,,,,,,,,
3960599,Education,"                 Hey wassup u all out there...hope so u all can really understand how my life is!It juz like a cube but its not really tht cute,in fact it rolls like a dice!         ",0,,,,,,,,,,,,,,,,,
3959283,Student,"        People are too sheltered.    They sit at home all day watching fake reality.    They watch TV sitcoms where everyone seems to have a “perfect” life.    Every once in a while there is a problem in their 'perfect' reality.    They make a joke out of this problem, and it is soon resolved and everything goes back to normal.    Many people think that life should be like that, when there is no way in hell that it will ever happen that way.    If people want to live like that…you’re a dreamer.    Nothing can be perfect.    People like to think that their life “sucks” or they are terribly depressed because of things not going their way.    The reason people think their life sucks is because they suck.    They don’t know how to look at what they have and see what’s good about it, especially the upper middle class people.    They have a lot of money and a lot of things.    They have so many things and yet some will be depressed.    They get upset because of one little thing that they probably never cared about in the first place.    I was once like this too once.    When I was like 4 my great aunt gave me a quarter to get a gumball.    I was so excited (come on I was four) and I was really hoping not to get the white gumball.    Unfortunately I got the white gumball.    I was so pissed off; I think I even started to cry.    I pouted and I pouted, but yet I just stuck the gumball in my pocket.    I was still pissed as hell but we went over to the park.    There was some sort of festival going on at the time so there were a lot of people at the park.    So I waited and I waited to get a swing, and I finally got one, and while I was swinging the stupid white gumball that I didn’t even want feel out of my pocket.    Some older kids decided it would be fun to take my gumball.    Two older kids came over and started to basically play keep away with the gumball.    They had me diving in the sand and everything getting horribly dirty just for a gumball I didn’t even want.    I even started to cry.    I started to call for my Mom but when I turned around the two jerks ran off.    I started chasing after those kids as fast as my little legs would go.    I didn’t find them, and I began to cry.    I cried over a gumball I didn’t want.    I think about this and I think to myself, “What the fuck was wrong with you Mike”.    I didn’t even need the gumball.    I should have cared less if they stole that gumball, I didn’t want it so who gives a damn.    Well I did.    I wanted candy, but if it was white I was going to be upset.    It’s just like someone getting their first car.    They want a car so bad, but when they see that the only car they can get is some junked car that all its good for is going from point A to point B…they don’t want it.    They want a car but they don’t want this one because it doesn’t look good.    The car runs fine, but it looks like shit.    I say to people, “you wanted a car right?    And this is all you can get?    Then take the goddamn thing you bastard.    I mean it’s not like your first car is gonna be a Ferrari”.    I can’t even drive yet and I really want a Mini Cooper.    Well I’m pretty sure I’m not gonna get it, I’m pretty sure I wont get a car at all.    If I do…It’s gonna    be something given to me that’s a million years old.    I wont care…I’ll have a car.    So any way I was saying that people need to see the good side of things.    I wanted a gumball, but since it was white I didn’t eat it.    I should have just shrugged my shoulders and ate it.    You can’t even tell the color once you put it in your mouth.     ",0,,,,,,,,,,,,,,,,,
3958737,Transportation,"       This topic is bound to come up eventually, so we might as well get it out of the way now. &nbsp; What is your favourite kinds of music at this moment? &nbsp; How about this,&nbsp; Favourite Type of Music, Favourite Band(s), Favourite Song.&nbsp; Note: They don't have to be the same. &nbsp; For me, it would be:&nbsp; Classic Rock, Aerosmith, Dust in the Wind(Kansas)     ",0,,,,,,,,,,,,,,,,,
3956394,Student,"              Ive been at my cousins house for now 2-3 weeks. (Ive even lost count of days) Ya, and i miss my mom =( Lucky her...In new york having fun with my sister nicole,my dad and my other sister Becky. (My OTHER sister is with me cristine) oOo How bad i want to be in&nbsp;new york =D My cousin Denny got me inspired to draw so i drew like 9 pics already.Its fun here but i miss my other friends! Its to far from here to go to their houses so i cant see them, only call them.At least i got msn here! In fact, my cousins have 3 computers, all have msn =) But im only aloud to use 2 of them WITH permission and they all are pass protected so eh, they dont like me on.Hehehe =D My cousins im staying with is Denise,Adreana,Radu and their parents.Im staying around another week so im hoping were going to have fun for the last few days! we played poker at 1:00 am last night and IT WAS SO COOL! We played with chips.Hehehe i hope we play tonight!           ",0,,,,,,,,,,,,,,,,,
3955634,Student,"       Iraq today:   Washington Post:  urlLink Ominous Calm Settles Over Baghdad   International Herald Tribune (AP):  urlLink U.S. forces put off Najaf offensive   Telegraph.co.uk:  urlLink US marines poised to crush Najaf revolt   ABC News:  urlLink Iraqi Prime Minister Speaks About Security Problems, Najaf Revolt, Olympic Hopes   The Guardian:  urlLink Beside the ruined Valley of Peace, Sadr's men wait for martyrdom   Yahoo! News (WPFS):  urlLink Cemetery Fight Haunts Some U.S. Soldiers    The most chilling thing I read all day was the last article there. The operations being conducted in such close proximity to the shrine of Imam Ali are risky business. It seems almost inevitable that something is going to happen to the mosque, and supposing it's even moderately serious damage, we'll have a whole new wave of Jihadists on our hands.  Which reminds me of another disturbing point. Moqtada al-Sadr's men are not necessarily 'terrorists' or 'insurgents' but something entirely different. What the Mahdi Army has become is a symbol of the Iraqi resistance -- by Iraqis,  for  Iraqis. For all the talk of foreign extremists fighting the U.S. troops over there, it seems weird not to take into account the incredible power (particularly in areas such as Najaf, Falluja, and the Sadr City slums of Baghdad) of this kind of movement. We won't be able to merely kill our way out of this; there's a lot of Shi'ites out there and I don't think we're ready for genocide just yet!  ADDENDUM: New violence in Najaf,  urlLink perhaps the big offensive ? Hopefully we'll know more by the morning. Goodnight, world.      ",0,,,,,,,,,,,,,,,,,
3955366,Student,       today was my first day writin blog ah ! oso today i had veri sad day today! i went wif my new kewl buddy shah rizal my skool team goalie ah ! then my darling dalilah oso follow ask go orchard! we go walk n walk n play arcade ah then cum back home !be4 i went i had a can of heniekken ah ! i mabo little bit ah n as usuual i blabbered alot ah !then cum online ah .. dalilah chat wif me ah ! i today kenot tahna liao loh so tell her abt feelings ! we cat veri long ah(private)... we came 2 a agreement tat till wed we will be close frens! on Wed she will make her mind whether 2 continue or end our relationship ! i kenot sleep tonite wan ah sureli becoz i veri worried the bad things wuld haben ! i love dalilah alot man ! she was juz the onli happiness in ma life!There's no joy if she not ard ! i miss her wenever i dun see her ! well juz wish she will 2 me n sathi i still love u n i wanna carry on wif u !!!! i c=kenot wait 4 wed man !    ,0,,,,,,,,,,,,,,,,,
3953232,Student,"        Hello. I've been really really&nbsp;busy lately. My Statistics Quiz is tomorrow, have to hand in my research paper by Friday. Doing my reference list now. Thank God I'm almost done although I did it last minute. Hehe! My Econs Quiz, which&nbsp;I'm not really&nbsp;prepared for,&nbsp;is on next Tuesday. Furthermore, I have an Assignment for Malaysian Studies which I'm supposed to hand in by 2nd August. My  Finals  coming up too. In 3 weeks time. Aahh! Wish me luck ya?    Hmm, this weekend, my aunt and her family from England&nbsp;are coming back for the summer holiday. They'll be here for 2 weeks and will be going back to England the day I finish my exam. Wont be able to spend quality time with them. Tragic isn't it?   Oh well, I guess I'd better get going. Got to catch up on my studies and make sure I score well for my Finals.   By the way, the picture below&nbsp;was taken&nbsp;at my class this afternoon. :) Ok then, take care! Buhbye....                 ",0,,,,,,,,,,,,,,,,,
3950835,indUnk,"       I keep having this dream over and over.&nbsp; In my dream the world has ended... I think. Every thing is dead. Above ground you hear nothing no birds no animals no breeze. The trees are all dead the ground is black as coal you can travle for miles with out seeing another living soul. In my dream I am with a goup of seven people&nbsp;RNBAJJC are the first initals of each. I think that we are the last survivors in the town. Its really interesting nothing mechanical will work. Theres no electrisity at all. And every thing is quiet for days that is until Josh makes the mistake of playing with Reds gun and firing it. Then we find out that the town has gone to hell. There is a disease that has affected almost every one in the town... there are still about 50 normal people in the town not counting us. The disease that is spreading we came to call the grey.&nbsp; If a person gets the grey there skin turns...who could guess ...grey. the grey affects people by slowly making them deteriorate while there still alive its like a worse and faster spreading leprosy. The person affected most likly always is driven insane by the pain so it goes after other people blaming them for the pain it feels. This isnt like the living dead thing all these people all still living and believe me they do die.&nbsp; Butt any ways the grey spreads by open wounds scratches, bites, and so on. So after Josh fires Reds dame gun the things swarm in attacking us and each other. We have to fight our way out there slashing, blood, death and the like. Amaya almost gets her head taken off bye Reds firing the damn gun. Bubbles which we so love calling him doesnt know wow to fight worth&nbsp;shit but gives a go with the daggers.&nbsp; He almost cut up him self as badly as he got the greys. Caden killed some major peple as did red. I got about five of them. Amaya got three, Justin got 10, and the ran off. After we got over the shock of almost dying.&nbsp; We yelled at Josh for three hours. Not only did he bring all the attention to us but he hid behind a car the hole time we had to fight...I mean even Bubbles fought and hes a peace lover.&nbsp; We were in some small town by the coast Sea side or New Port probably. We were working on making our way back to Klamath Falls. The dream continues each time&nbsp;I have it so I'll write more latter.     ",0,,,,,,,,,,,,,,,,,
3950535,indUnk,"            I love music alot. Since young, my life has revolved around music. From learning dance to singing and organ, all involves music.I must say that it is an integral part of my life already. Cant imagine a life without music....I start to appreciate that I have my ears to hear the melodious sounds around me.     &nbsp;   As I grew older, I found that I can have diff songs to represent me everyday.. Each song describes how I felt each day. I believe everyone has a song to represent him/herself. What is my song today...? I think its 'Journey'. This is the song I first thot of when I woke up this morning... Quite a funny song to start of the day as its kinda a slow and melodrama song. =P     &nbsp;   Well, I'm do feel a little slow and dazed today.. (Could be that I slept late this morning at 3 hohohoho).. Now, I'm starting to hum that song... It goes like this      START   Its a long long journey... Till I know where I'm supposed to be.    Its a long long journey... and I dun know if i can believe..    When shadows fall and block my eyes, I am almost lost and know that I must hide.    Its a long long journey.. Till I find way home to you.     &nbsp;   Many days I've spent, Drifting on through empty shores.    Wondering wat's my purpose, Wondering how to make me strong.    I know I will falter I know I will cry. I know you'll be standing by my side.    Its a long long journey, and I need u to be close to you.     &nbsp;   Sometimes it feels on one understand. I dun even know why I do the things I do.    When pride builds me up till I cant see my soul.    Will you break down these walls and pull me through?     &nbsp;   Cos it's a long long journey. Till I feel that I am wortth the price.    You paid for me on calvary. Beneath those stormy skies    When satan mocks and friends turn foes,    It feels like everything is out to make me lose control.    Cos its a long, long journey. Till I find my way home to you ~ to you....... &nbsp;  END &nbsp;   If you are following me through till the end of my song, I supposed u must have felt like this before dun you? Thanks for hearing it (or i should say reading the lyrics) with me.    Well, its really a nice song, if any of you wish to have it, please msn me. =)             ",0,,,,,,,,,,,,,,,,,
3949276,indUnk,"                 HELLO WORLD.  &nbsp;&nbsp;&nbsp; AS YOU MAY HAVE GUESSED I AM A TRAVEL AGENT.&nbsp; GLORIOUS AS IT MAY SOUND YOU DON'T MAKE MUCH MONEY.&nbsp; SOME DAYS IT IS PRETTY PATHETIC TO LOOK AT MY DECREASINGLY SMALL CHECKS.&nbsp; THOUGH FOR SOME REASON OR ANOTHER I AM NOT A T. AGENT FOR THE MONEY.&nbsp; I HAVE ALWAYS LOVED TRAVELING.&nbsp; AS A CHILD I WAS NOT ABLE TO TRAVEL AS MUCH AS I MIGHT HAVE LIKED BUT I AM MAKING UP FOR LOST TIME.&nbsp;&nbsp; THE MOMENT I GRADUATED COLLEGE (DEC 2000, PUBLIC RELATIONS, AUBURN UNIVERSITY)&nbsp; I HEADED TO MY FIRST CRUISE.&nbsp; I HAD THE TIME OF MY LIFE WITH THREE OF MY CLOSEST FRIENDS.&nbsp; I CRUISED TO THE BAHAMAS.&nbsp; SINCE THAT FIRST CRUISE I HAVE VISITED BELIZE, HONDURAS, MEXICO, GRAND CAIMAN ISLANDS, COSTA RICA, AND MOST RECENTLY LAS VEGAS.&nbsp; LAS VEGAS IS HOTTTTT IN JULY.&nbsp; UNBELIEVABLY HOT EVENTHOUGH I LIVE IN THE DEEP SOUTH.&nbsp; MY NEXT ADVENTURES WILL INCLUDE WALT DISNEY WORLD AND A DISNEY CRUISE.&nbsp; I AM ALSO HOPING TO TRAVEL TO NEW YORK FOR A WEEK OF FUN IN THE BIG APPLE.&nbsp; LET ME KNOW YOUR FAVORITE PLACES TO VISIT!&nbsp; I LOOK FORWARD TO SOME EXCITING POSTS!  out DJ SLEEZE        ",0,,,,,,,,,,,,,,,,,
3949113,indUnk,"           well.........today is a great day, its really sunny out and all that other good stuff...so um yeah- later          ",0,,,,,,,,,,,,,,,,,
3948308,indUnk,"              'Dear diary what a day it's been, Dear diary i't been just like a dream. Woke up too late wasn't where I should of been for goodness sake what's happening to me.'.....Just some good Ray Thomas lyrics to set the mood.         Well to make a long story short.I have a busy week. I started out today by filling out an application for the fulltime spot in my Department. I am praying that I get it :). I have to start out this week by begging my best friend to please stay on the clean side of life. I am scared because I already know the outcome of this senereo. Please God save her, I love her too much.        This is a busy week.then the rest of the week consist of work and taking my dog to the groomer ,food shopping,Bed delivery,Final Days before Matt's Grandmother's house is sold. And his Parent's  are moving. I am looking forward to Fall.                                              So I need some sleep so I am going to bed early.   Byr Bye         ",0,,,,,,,,,,,,,,,,,
3947013,Non-Profit,"        urlLink    I was very lucky to get out of the icy cold city for a while, and spend some time with my family in Maui.  It was the weekend of my dad's birthday, but we actually surprised my mom with a birthday bash a month before her big day!  Clockwise from top left; My mom as she comes up stairs and is surprised, Ryan using Kiana to do some weight lifting,  Casey and Ryan, Ryan Kiana and Casey pose near the sea.          ",0,,,,,,,,,,,,,,,,,
3946335,Technology,"        It's been 24 hours since I posted part&nbsp;1, and I'm a little nervous. Although no one (that I know of) is reading my blog, it is still scary to know that this info is out there in the world. &nbsp;&nbsp;&nbsp;&nbsp;   I've decided to take a light-hearted break before I post part 2.   I'm looking forward to watching Big Brother 5 tonight. I'm hoping that one of the meathead jocks do not get HOH (head of household.) I hate those guys.  I watched the films 'Wonderland' & 'The Butterfly Effect' the other day. They were both good in their own ways, but Wonderland was better. Val Kilmer is a great actor.   Part 2 may be posted tomorrow...we'll see.      ",0,,,,,,,,,,,,,,,,,
3941452,Student,                   For the past hour I have had about a million songs stuck in my head! A song will pop into my head and i'll just start belting it out. And its weird songs too like that retro stuff and old foggie kinda songs. It ranges from  Oops I did it again  to    Oh Danny Boy  to  I'll Fly Away!  It's crazy and kinda disturbing... Oh and when I'm talkin to myself if I don't watch it I'll start singing what i just said makin up my own song. It's not normal! I mean I can understand talking to yourself but coming up with songs about the conversations with yourself.... well thats just plum&nbsp;scary!         ,0,,,,,,,,,,,,,,,,,
3941274,indUnk,"        so i think bush is better for the economy than kerry. first of all,  kerry's robin hood rhetoric of stealing from the rich to give to the poor is in its very essence anti-american. we are a capitalist nation and believe in free enterprise. kerry wants to raise the minimum wage. that will not help. all that will do is raise the prices of everything else keeping the ratio even where it is today. bush supports a welfare program that does not penalize someone for saving money, owning a home, or getting married as the current system does. this is true. because i worked through (the first three years) college i was not eligible for the pell grant, a need based grant. i made $10,000 a year and paid all my own bills including college tuition without any loans. however i have friends who lived in government housing where they were paid a monthly check to live there and were given pell grants which paid their tuition as well as enough for them to live. i was penalized for working. by increasing welfare spending we will be perpeuating the welfare cycle. no one can deny the existence of a welfare cycle. people generally stay on welfare. this does not help the poor. (the government is not even obligated to support the poor but that is an entirely different argument) kerry wants to tax the rich more than the rest of us. penalizing success does not promote progress. it is not the american way. bush supports tax relief for married people, as well as people who own homes, and he also promotes  voluntary  choice in social security. he also is in support of the opportunity for small business' to pool their resources so they can afford to provide healthcare for their employees. small business' are the largest growing employer in america. kerry wants to use government money to support healthcare and the poor. this will have to mean increased taxes. the main thing is that our money is spent by us, the citizens and not the government. increasing government spending takes control away from the people. this is socialism. the government's main purpose in america is to protect our freedom not financially support us. kerry will not protect us and he will continue to lead us in a downward economic spiral. also, remember that the economy is on the upswing. the national unemployment rate is 5.5%. we are doing well as a country.            ",0,,,,,,,,,,,,,,,,,
3938554,indUnk,       mm once again i have failed to coinclude the obvious and avoide any possible pain...ass predicted by my adivsors who im hoping will hold there ' i told you so's' that i would not have a chance at all with the girl i like...mm its not ironic that she doesnt like me ..nor any other girls yet i still feel the pain which is something i have failed to neglect... though i did use a rather devious method i feel it was neccesary...to possibly avoide further vain to me...causing situations to possibly furthur become queer...   mm thanks to feww friends i have been able to discuss but hasnt really...helped...there isnt anything i can do nor any friends as in past situations...and i dont think i should discuss this with her because i think it would only make our friend ship weird....mm i think i fail to see reason for had i been able to think perceptively... i would have listened to my friends... though i understood nothing would ever happen because of her attraction to danny...its does not amaze me to be honest that she continues to thrive having feelings for him...   i think i should move on for it seems the only further logical course of action....though i could wait ...for if ever i had a chance...but i highely doubt it a moment as such would ever arise...i continue to struggle though it sounds very cliche-ish i speak honestly..when i say i feel the pain though im am certian that i shud discuss this with her... though indeed the girl i like is very understanding and very easy to communicate expressively to her i doubt i should create an akward situation... mm once again...my stubborn decisions have put forth problems hence...my pain  hope fully tomorrow will not show any signs that im experiencing any pain ... though i am in pain i do not wish to in any well make her feel guilty or any person at that...well see ..Deep.S    ,0,,,,,,,,,,,,,,,,,
